source_path,classification,target_path,reason,direct_importers,dependencies,size_bytes,sha256,license_status,migration_risk
sa_hmarl/pure_rmsa_v13/neural_opportunity/__init__.py,KEEP_CORE,pure_rmsa_v13/neural_opportunity/__init__.py,package exports; slim to avoid torch side-effect import (Commit 4),,pure_rmsa_v13/neural_opportunity/model.py;pure_rmsa_v13/neural_opportunity/selector.py,283,8d82292a8a3f1afdb7b90fc0eb466b0cbfca2e497a3c559b683a1e7b9c71d2d1,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pure_rmsa_v13/neural_opportunity/protocol.py,KEEP_CORE,pure_rmsa_v13/neural_opportunity/protocol.py,"50-slot locked protocol constants (K=50, slots=50, seeds, gates)",pure_rmsa_v13/neural_opportunity/dataset.py;pure_rmsa_v13/neural_opportunity/features.py;pure_rmsa_v13/neural_opportunity/model.py;pure_rmsa_v13/neural_opportunity/n1_fuse0/run_fuse0_bench.py;pure_rmsa_v13/neural_opportunity/n1_fuse0/selector.py;pure_rmsa_v13/neural_opportunity/run_closed_loop_smoke.py;pure_rmsa_v13/neural_opportunity/run_collect.py;pure_rmsa_v13/neural_opportunity/run_confirmatory.py;pure_rmsa_v13/neural_opportunity/run_frozen_pilot.py;pure_rmsa_v13/neural_opportunity/run_latency_ceiling.py;pure_rmsa_v13/neural_opportunity/selector.py;pure_rmsa_v13/neural_opportunity/training.py,,1633,48e646887adddf528a6db8b24054242b4b8d9bef5ee966a29df6c146eec0eb17,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pure_rmsa_v13/neural_opportunity/model.py,KEEP_CORE,pure_rmsa_v13/neural_opportunity/model.py,TinyOpportunityMLP + numpy deployment weights IO (schema-validated),pure_rmsa_v13/neural_opportunity/__init__.py;pure_rmsa_v13/neural_opportunity/dataset.py;pure_rmsa_v13/neural_opportunity/n1_fuse0/run_fuse0_bench.py;pure_rmsa_v13/neural_opportunity/run_closed_loop_smoke.py;pure_rmsa_v13/neural_opportunity/run_latency_ceiling.py;pure_rmsa_v13/neural_opportunity/selector.py;pure_rmsa_v13/neural_opportunity/training.py,pure_rmsa_v13/neural_opportunity/protocol.py,3387,ae373df992f72bed9e867b51eed6b751fb361103eed66cba00c18c1a4757d55d,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pure_rmsa_v13/neural_opportunity/features.py,KEEP_CORE,pure_rmsa_v13/neural_opportunity/features.py,110-dim per-path feature builder; uses env._cached_k_paths,pure_rmsa_v13/neural_opportunity/selector.py,pure_rmsa_v13/neural_opportunity/protocol.py,6898,64a3599b7a9c7f8ddaf3af13d9528cf13934982fb773ac9124cfaabef8a11c56,project-original; repo has no LICENSE file (LICENSE must be added before first public push),private-field coupling
sa_hmarl/pure_rmsa_v13/neural_opportunity/selector.py,KEEP_CORE,pure_rmsa_v13/neural_opportunity/selector.py,N1 online selector; inherits _DirectStaticRoutes,pure_rmsa_v13/neural_opportunity/__init__.py;pure_rmsa_v13/neural_opportunity/dataset.py;pure_rmsa_v13/neural_opportunity/n1_fuse0/run_fuse0_bench.py;pure_rmsa_v13/neural_opportunity/n1_fuse0/selector.py;pure_rmsa_v13/neural_opportunity/run_closed_loop_smoke.py;pure_rmsa_v13/neural_opportunity/run_latency_ceiling.py,pure_rmsa_v13/neural_opportunity/features.py;pure_rmsa_v13/neural_opportunity/model.py;pure_rmsa_v13/neural_opportunity/protocol.py,5800,f0fc301469d4e602e6a48adeda90f80e5c8461d126e2aea7c16004d269e2097f,project-original; repo has no LICENSE file (LICENSE must be added before first public push),private-field coupling
sa_hmarl/pure_rmsa_v13/neural_opportunity/dataset.py,KEEP_CORE,pure_rmsa_v13/neural_opportunity/dataset.py,Opportunity-Teacher dense label collection,pure_rmsa_v13/neural_opportunity/run_collect.py,pure_rmsa_v13/neural_opportunity/model.py;pure_rmsa_v13/neural_opportunity/protocol.py;pure_rmsa_v13/neural_opportunity/selector.py,6278,9fa21ccf301a2bb1eda3552d7729651cf1416a15b4a703423c3a14202135ace1,project-original; repo has no LICENSE file (LICENSE must be added before first public push),private-field coupling
sa_hmarl/pure_rmsa_v13/neural_opportunity/training.py,KEEP_CORE,pure_rmsa_v13/neural_opportunity/training.py,composite loss training + deployment export,pure_rmsa_v13/neural_opportunity/run_train.py,pure_rmsa_v13/neural_opportunity/model.py;pure_rmsa_v13/neural_opportunity/protocol.py,8337,0d95bd7f11b82c902a50e06a168340c7fcbf4e95e8738bdbe478f1023eb3f870,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pure_rmsa_v13/neural_opportunity/n1_100/protocol.py,KEEP_CORE,pure_rmsa_v13/neural_opportunity/n1_100/protocol.py,"100-slot locked protocol (6 topologies, recalibrated loads)",pure_rmsa_v13/neural_opportunity/n1_100/dataset.py;pure_rmsa_v13/neural_opportunity/n1_100/features.py;pure_rmsa_v13/neural_opportunity/n1_100/fused_selector.py;pure_rmsa_v13/neural_opportunity/n1_100/model.py;pure_rmsa_v13/neural_opportunity/n1_100/selector.py;pure_rmsa_v13/neural_opportunity/n1_100/training.py,pure_rmsa_v13/neural_opportunity/n1_100/topologies.py,3897,5d05683518369d8f3e418e94dd6dada159fc53397abc6f8f54334de91a9317a6,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pure_rmsa_v13/neural_opportunity/n1_100/model.py,KEEP_CORE,pure_rmsa_v13/neural_opportunity/n1_100/model.py,210->16->100 MLP + weights IO,pure_rmsa_v13/neural_opportunity/n1_100/dataset.py;pure_rmsa_v13/neural_opportunity/n1_100/selector.py;pure_rmsa_v13/neural_opportunity/n1_100/training.py,pure_rmsa_v13/neural_opportunity/n1_100/protocol.py,3387,ae373df992f72bed9e867b51eed6b751fb361103eed66cba00c18c1a4757d55d,project-original; repo has no LICENSE file (LICENSE must be added before first public push),low
sa_hmarl/pure_rmsa_v13/neural_opportunity/n1_100/features.py,KEEP_CORE,pure_rmsa_v13/neural_opportunity/n1_100/features.py,210-dim wide-bitmap features,pure_rmsa_v13/neural_opportunity/n1_100/selector.py,pure_rmsa_v13/neural_opportunity/n1_100/protocol.py,7790,249bea1fa1c931a15fa526e789bf5ad9275ec01c5d5e2a7d16a5c8b356876029,project-original; repo has no LICENSE file (LICENSE must be added before first public push),private-field coupling
