test_topo,nodes,encoder,raw_acc,raw_auc,raw_ece,temp_acc,temp_auc,temp_ece,platt_acc,platt_auc,platt_ece,temp_T,platt_a,platt_b,calib_sr,test_sr
usnet,28,v0,0.8137,0.8238,0.0835,0.8137,0.8238,0.0928,0.8470,0.8238,0.0282,1.5600,0.4970,0.7207,0.823,0.844
cost266,28,v0,0.7833,0.8116,0.0662,0.7833,0.8116,0.0432,0.7833,0.8116,0.0303,1.8588,0.4602,0.4046,0.774,0.780
germany50,50,v0,0.7977,0.8055,0.1133,0.7977,0.8055,0.1238,0.8513,0.8055,0.0408,1.6060,0.4868,0.7103,0.809,0.854
random50,50,v0,0.7487,0.8057,0.1025,0.7487,0.8057,0.0446,0.7430,0.8057,0.0325,2.8057,0.3939,-0.2044,0.647,0.674
random80,80,v0,0.7603,0.7847,0.0992,0.7603,0.7847,0.0768,0.7867,0.7847,0.0131,1.9074,0.4339,0.5871,0.772,0.783
random100,100,v0,0.7020,0.7681,0.1550,0.7020,0.7681,0.0644,0.7057,0.7681,0.0379,3.4654,0.3439,-0.3274,0.600,0.609
usnet,28,v2b,0.8247,0.9128,0.1536,0.8247,0.9128,0.1996,0.8657,0.9128,0.0257,5.0465,0.2498,1.7197,0.823,0.844
cost266,28,v2b,0.8293,0.9101,0.1275,0.8293,0.9101,0.1541,0.8543,0.9101,0.0293,4.4869,0.2618,1.3852,0.774,0.780
germany50,50,v2b,0.6993,0.8641,0.2722,0.6993,0.8641,0.3099,0.8527,0.8641,0.0370,6.4697,0.2575,2.0262,0.809,0.854
random50,50,v2b,0.7453,0.8547,0.1711,0.7453,0.8547,0.1604,0.7867,0.8547,0.0390,5.1475,0.2164,0.7999,0.647,0.674
random80,80,v2b,0.6900,0.8146,0.2608,0.6900,0.8146,0.2771,0.7867,0.8146,0.0377,8.8704,0.2145,1.7839,0.772,0.783
random100,100,v2b,0.7053,0.7970,0.2069,0.7053,0.7970,0.1370,0.7377,0.7970,0.0321,6.0205,0.2016,0.7472,0.600,0.609
