checkpoint_id,path,family,version,role,status,canonical,topology,seed,snapshot,architecture,protocol_id,size_bytes,sha256,notes
CKPT-001,checkpoints/agent_c_cost239_default_best.pt,PPO-C,PPO-C/COST239-default/v1-base,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,best,"actor-critic input=17, hidden=(128, 64)",,232505,1ecb35fc1dfef896d47fbb61a9986c7686674b3d667d1233cfd276438631fb37,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-002,checkpoints/agent_c_cost239_default_last.pt,PPO-C,PPO-C/COST239-default/v1-base,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,last,"actor-critic input=17, hidden=(128, 64)",,291577,f238d4f4e63cce03694d1c318c02d103c0b0ddba545784efb192ff3485554b75,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-003,checkpoints/agent_c_cost239_default_step2_20260704_best.pt,PPO-C,PPO-C/COST239-default/v2-step2,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,best,"actor-critic input=17, hidden=(128, 64)",,232775,2ca00376c7643605697dc214a4172144c1d1744228566cd0ea6de8ea5e645693,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-004,checkpoints/agent_c_cost239_default_step2_20260704_last.pt,PPO-C,PPO-C/COST239-default/v2-step2,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,last,"actor-critic input=17, hidden=(128, 64)",,291847,07e91383d00395f2285a7eff875f3d9397311143bdb754c2b8bcea528298b0f3,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-005,checkpoints/agent_c_cost239_default_step3_mixedstress_20260704_best.pt,PPO-C,PPO-C/COST239-default/v3-mixedstress,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,best,"actor-critic input=17, hidden=(128, 64)",,281055,f5c12dc37bb0fa69223c6cde2296c41b6411cb68af2f34dcf267bb6295c487b3,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-006,checkpoints/agent_c_cost239_default_step3_mixedstress_20260704_last.pt,PPO-C,PPO-C/COST239-default/v3-mixedstress,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,last,"actor-critic input=17, hidden=(128, 64)",,292767,c59f0cc91f8b8533916b222b2f70d75b9cd96750c4b0f58f235e361012b5be10,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-007,checkpoints/agent_c_cost239_overload_aware_best.pt,PPO-C,PPO-C/COST239-overload-aware/v1-base,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,best,"actor-critic input=26, hidden=(128, 64)",,246455,bc66d6295d2187e9c064255d044d492bc8fe527e37bd632f0f83f8b20aac2f2e,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-008,checkpoints/agent_c_cost239_overload_aware_last.pt,PPO-C,PPO-C/COST239-overload-aware/v1-base,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,last,"actor-critic input=26, hidden=(128, 64)",,305527,16c939bd989c83c19bf1ecb1400445aa4363f4dcb3005085d4d95b84b2aa441f,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-009,checkpoints/agent_c_cost239_overload_aware_step2_20260704_best.pt,PPO-C,PPO-C/COST239-overload-aware/v2-step2,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,best,"actor-critic input=26, hidden=(128, 64)",,246789,94d8b94af68e32bbcd0cb474a5080659241f1cd0411f61416ec0aa7318b49141,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-010,checkpoints/agent_c_cost239_overload_aware_step2_20260704_last.pt,PPO-C,PPO-C/COST239-overload-aware/v2-step2,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,last,"actor-critic input=26, hidden=(128, 64)",,305797,37780c332e0b3a1015b82c8670a122304dfbcce8ffba1aaa4998434d8e0c266a,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-011,checkpoints/agent_c_cost239_overload_aware_step3_mixedstress_20260704_best.pt,PPO-C,PPO-C/COST239-overload-aware/v3-mixedstress,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,best,"actor-critic input=26, hidden=(128, 64)",,291165,566d6905d8028f5497e1851febaea4eb7b86d819569b669cf70cc209e8c960ca,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-012,checkpoints/agent_c_cost239_overload_aware_step3_mixedstress_20260704_last.pt,PPO-C,PPO-C/COST239-overload-aware/v3-mixedstress,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,last,"actor-critic input=26, hidden=(128, 64)",,306781,fb06604c631a54645a53692ce5b26289fe0997fb65621b223934b52e4d8a8886,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-013,checkpoints/agent_c_cost239_overload_aware_step3_test_best.pt,PPO-C,PPO-C/COST239-overload-aware/v3-test,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,best,"actor-critic input=26, hidden=(128, 64)",,249789,edefeb3610789ac6c95e7c2281f1ee66dcb9179375bbfe68de51257c3b713026,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-014,checkpoints/agent_c_cost239_overload_aware_step3_test_last.pt,PPO-C,PPO-C/COST239-overload-aware/v3-test,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,last,"actor-critic input=26, hidden=(128, 64)",,251261,bd978d3aaaac045b7d4205963c865f874e19344980d206f91e34b9eadadd7121,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-015,checkpoints/agent_c_cost239_r_feasibility_safe_best.pt,PPO-C,PPO-C/COST239-r-feasibility-safe/v1-base,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,best,"actor-critic input=29, hidden=(128, 64)",,251135,d107997f1c2fd695a3cf259f132c8ca3dbdb994a2724447f4bddf2a89d7201e5,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-016,checkpoints/agent_c_cost239_r_feasibility_safe_last.pt,PPO-C,PPO-C/COST239-r-feasibility-safe/v1-base,C-side split/server policy,active-protocol-support,support,xlron_cost239_ptrnet_real,42,last,"actor-critic input=29, hidden=(128, 64)",,310207,a5c9eb39bc33cf3b77a06d80e9c45315880dcb963ad9c3c95663eadaded9f2c8,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-017,checkpoints/agent_c_cost239_r_feasibility_safe_step2_20260704_best.pt,PPO-C,PPO-C/COST239-r-feasibility-safe/v2-step2,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,best,"actor-critic input=29, hidden=(128, 64)",,251533,5fdf6eb907a20ea181c8d8a698765758d046249ca8416efa4b87b1690f77c2ef,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-018,checkpoints/agent_c_cost239_r_feasibility_safe_step2_20260704_last.pt,PPO-C,PPO-C/COST239-r-feasibility-safe/v2-step2,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,last,"actor-critic input=29, hidden=(128, 64)",,310605,9005b0912ee9db83aca882e79639119cb7d5a78afbc2d3f424b4226069f27d58,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-019,checkpoints/agent_c_cost239_r_feasibility_safe_step3_mixedstress_20260704_best.pt,PPO-C,PPO-C/COST239-r-feasibility-safe/v3-mixedstress,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,best,"actor-critic input=29, hidden=(128, 64)",,268261,a3069bbb01108da1c913420958b4be94882d1b8131d9c4dbed4507002d5133e0,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
CKPT-020,checkpoints/agent_c_cost239_r_feasibility_safe_step3_mixedstress_20260704_last.pt,PPO-C,PPO-C/COST239-r-feasibility-safe/v3-mixedstress,C-side split/server policy,historical-candidate,no,xlron_cost239_ptrnet_real,42,last,"actor-critic input=29, hidden=(128, 64)",,311525,58a94e2a9c0c6323dde151ab3d025b44ef4056924769bdba97fa4f66db76c950,Not used by fixed-C experiments; the r-feasibility-safe last snapshot is retained for native SA-HMARL protocol support.
