seed,c_mode,r_mode,method_name,display_name,total,admitted,blocked,blocking_rate,server_overload,overload_rate,no_suitable_block,nsb_rate,other_failure,other_rate,avg_delay_ms,delay_p95_ms,avg_fs,avg_decision_ms,decision_p95_ms,avg_path_length_km,avg_hop_count,ppo_r_agreement,fallback_rate,ranker_top1_in_candidates_rate
5001,ppo_c,ppo_r_top1,ppo_c+ppo_r_top1,PPO-C + PPO-R Top-1,6000,5687,313,0.05216666666666667,313,0.05216666666666667,0,0.0,0,0.0,8.573953054943255,16.291847155744335,3.186917531211535,9.604292067180117,14.416170162439814,761.6078776156146,1.4592931246703007,1.0,0.0,0.0
5002,ppo_c,ppo_r_top1,ppo_c+ppo_r_top1,PPO-C + PPO-R Top-1,6000,5671,329,0.05483333333333333,329,0.05483333333333333,0,0.0,0,0.0,8.436401094268085,16.061671017648056,3.2038441192029623,9.524725112239443,14.126612718973774,744.2031387762299,1.4466584376653147,1.0,0.0,0.0
5003,ppo_c,ppo_r_top1,ppo_c+ppo_r_top1,PPO-C + PPO-R Top-1,6000,5628,372,0.062,372,0.062,0,0.0,0,0.0,8.56252027610625,16.408176851448243,3.164356787491116,9.516970780692645,14.08452181494795,751.045842217484,1.4507818052594172,1.0,0.0,0.0
5004,ppo_c,ppo_r_top1,ppo_c+ppo_r_top1,PPO-C + PPO-R Top-1,6000,5666,334,0.05566666666666667,334,0.05566666666666667,0,0.0,0,0.0,8.320015203666216,16.011643539154228,3.177020825979527,9.565633499640777,14.25404963811161,725.5548888104482,1.397458524532298,1.0,0.0,0.0
5005,ppo_c,ppo_r_top1,ppo_c+ppo_r_top1,PPO-C + PPO-R Top-1,6000,5540,460,0.07666666666666666,460,0.07666666666666666,0,0.0,0,0.0,8.823580909073886,16.533135787014682,3.1915162454873647,9.475899601054456,13.825346148223618,753.484476534296,1.458303249097473,1.0,0.0,0.0
5006,ppo_c,ppo_r_top1,ppo_c+ppo_r_top1,PPO-C + PPO-R Top-1,6000,5451,549,0.0915,549,0.0915,0,0.0,0,0.0,8.92674586415444,16.639703790720677,3.2049165290772335,9.554601943974072,14.157007547328249,760.4043294808292,1.4578976334617502,1.0,0.0,0.0
5007,ppo_c,ppo_r_top1,ppo_c+ppo_r_top1,PPO-C + PPO-R Top-1,6000,5536,464,0.07733333333333334,464,0.07733333333333334,0,0.0,0,0.0,8.603024049920197,16.340109194168818,3.161127167630058,9.512801768287318,13.998388302570676,727.8121387283237,1.4069725433526012,1.0,0.0,0.0
5008,ppo_c,ppo_r_top1,ppo_c+ppo_r_top1,PPO-C + PPO-R Top-1,6000,5683,317,0.052833333333333336,317,0.052833333333333336,0,0.0,0,0.0,8.37566760464323,15.903865133173504,3.156255498856238,9.466637880313405,14.02280841721222,743.1078655639627,1.4158015132852366,1.0,0.0,0.0
5009,ppo_c,ppo_r_top1,ppo_c+ppo_r_top1,PPO-C + PPO-R Top-1,6000,5755,245,0.04083333333333333,245,0.04083333333333333,0,0.0,0,0.0,8.454892323653313,16.048488456376123,3.2220677671589923,9.596856632114699,14.132777393388096,742.0340573414422,1.4225890529973935,1.0,0.0,0.0
5010,ppo_c,ppo_r_top1,ppo_c+ppo_r_top1,PPO-C + PPO-R Top-1,6000,5429,571,0.09516666666666666,571,0.09516666666666666,0,0.0,0,0.0,8.81807378165835,16.465301612865293,3.1836433965739546,9.497455114799473,13.94226049014833,748.4199668447228,1.441517774912507,1.0,0.0,0.0
5011,ppo_c,ppo_r_top1,ppo_c+ppo_r_top1,PPO-C + PPO-R Top-1,6000,5555,445,0.07416666666666667,445,0.07416666666666667,0,0.0,0,0.0,8.509840924648794,16.04946920132618,3.226102610261026,9.508986877122274,13.93891678453656,739.8714671467146,1.418901890189019,1.0,0.0,0.0
5012,ppo_c,ppo_r_top1,ppo_c+ppo_r_top1,PPO-C + PPO-R Top-1,6000,5511,489,0.0815,489,0.0815,0,0.0,0,0.0,9.02545703134732,16.562488001456657,3.2090364725095264,9.604769456180899,14.03059515723726,767.2901469787697,1.4922881509707857,1.0,0.0,0.0
5013,ppo_c,ppo_r_top1,ppo_c+ppo_r_top1,PPO-C + PPO-R Top-1,6000,5509,491,0.08183333333333333,491,0.08183333333333333,0,0.0,0,0.0,8.683144915553697,16.220476326399933,3.1860591758939916,9.400954118410786,13.987354053824676,738.304955527319,1.417498638591396,1.0,0.0,0.0
5014,ppo_c,ppo_r_top1,ppo_c+ppo_r_top1,PPO-C + PPO-R Top-1,6000,5607,393,0.0655,393,0.0655,0,0.0,0,0.0,8.742792395759123,16.192314137948646,3.2254324950954163,9.42005408037221,13.96637160505634,761.8533975387908,1.4731585518102372,1.0,0.0,0.0
5015,ppo_c,ppo_r_top1,ppo_c+ppo_r_top1,PPO-C + PPO-R Top-1,6000,5650,350,0.058333333333333334,350,0.058333333333333334,0,0.0,0,0.0,8.654716721850365,16.201003531886556,3.184778761061947,9.543639509967761,14.176266378490254,736.3008849557522,1.4182300884955752,1.0,0.0,0.0
5016,ppo_c,ppo_r_top1,ppo_c+ppo_r_top1,PPO-C + PPO-R Top-1,6000,5668,332,0.05533333333333333,332,0.05533333333333333,0,0.0,0,0.0,8.52810377678683,15.918806787339808,3.200776287932251,9.303661291080061,13.859692410915159,751.9146083274524,1.4590684544812986,1.0,0.0,0.0
