topology,seed,arm,blocked,blocking,mean_ms,p95_ms
xlron_nsfnet_deeprmsa,23001,neural_opportunity,614,0.0614,0.050604502600000004,0.10643499999999996
xlron_nsfnet_deeprmsa,23002,neural_opportunity,723,0.0723,0.043863124499999996,0.09009294999999998
xlron_nsfnet_deeprmsa,23003,neural_opportunity,655,0.0655,0.042999145499999995,0.08810849999999998
xlron_nsfnet_deeprmsa,23004,neural_opportunity,649,0.0649,0.045508995999999996,0.095783
xlron_nsfnet_deeprmsa,23005,neural_opportunity,690,0.069,0.042806350099999994,0.08604399999999998
xlron_nsfnet_deeprmsa,23006,neural_opportunity,614,0.0614,0.045578752199999996,0.09695294999999989
xlron_nsfnet_deeprmsa,23007,neural_opportunity,585,0.0585,0.04269456320000001,0.08656699999999996
xlron_nsfnet_deeprmsa,23008,neural_opportunity,498,0.0498,0.0459111751,0.09395249999999995
xlron_nsfnet_deeprmsa,23009,neural_opportunity,599,0.0599,0.0435584986,0.08841004999999996
xlron_nsfnet_deeprmsa,23010,neural_opportunity,700,0.07,0.0444141279,0.09294154999999993
xlron_usnet_gcnrmsa,23001,neural_opportunity,800,0.08,0.044561938200000005,0.09180699999999997
xlron_usnet_gcnrmsa,23002,neural_opportunity,802,0.0802,0.0444024664,0.09125704999999994
xlron_usnet_gcnrmsa,23003,neural_opportunity,711,0.0711,0.0447941347,0.09208599999999999
xlron_usnet_gcnrmsa,23004,neural_opportunity,742,0.0742,0.0431181877,0.08782094999999995
xlron_usnet_gcnrmsa,23005,neural_opportunity,822,0.0822,0.0444475402,0.09319749999999999
xlron_usnet_gcnrmsa,23006,neural_opportunity,710,0.071,0.0467011248,0.10022149999999998
xlron_usnet_gcnrmsa,23007,neural_opportunity,796,0.0796,0.0433104707,0.08800799999999999
xlron_usnet_gcnrmsa,23008,neural_opportunity,790,0.079,0.0455260612,0.095742
xlron_usnet_gcnrmsa,23009,neural_opportunity,688,0.0688,0.0452022109,0.09333999999999996
xlron_usnet_gcnrmsa,23010,neural_opportunity,846,0.0846,0.0438340213,0.0890019999999998
xlron_jpn48,23001,neural_opportunity,813,0.0813,0.0470174627,0.09748699999999998
xlron_jpn48,23002,neural_opportunity,736,0.0736,0.0478135775,0.09895849999999999
xlron_jpn48,23003,neural_opportunity,702,0.0702,0.04661283549999999,0.0944574499999999
xlron_jpn48,23004,neural_opportunity,718,0.0718,0.0469175872,0.09602949999999989
xlron_jpn48,23005,neural_opportunity,697,0.0697,0.050732187299999995,0.10709449999999998
xlron_jpn48,23006,neural_opportunity,671,0.0671,0.0471533288,0.09510344999999996
xlron_jpn48,23007,neural_opportunity,785,0.0785,0.0466343479,0.09450599999999991
xlron_jpn48,23008,neural_opportunity,760,0.076,0.05035252459999999,0.10342954999999995
xlron_jpn48,23009,neural_opportunity,662,0.0662,0.047090321600000005,0.09515254999999996
xlron_jpn48,23010,neural_opportunity,607,0.0607,0.0460235998,0.09163599999999997
