arm,blocked,blocking,mean_ms,p95_ms,topology,seed
ksp_ff_k50,685,0.0685,0.016934665300000002,0.07174649999999999,xlron_nsfnet_deeprmsa,60301
full_direct,575,0.0575,0.3751912949,0.671124,xlron_nsfnet_deeprmsa,60301
opportunity_teacher,550,0.055,0.14642002969999998,0.24800849999999988,xlron_nsfnet_deeprmsa,60301
neural_opportunity,552,0.0552,0.0452993486,0.09301124999999995,xlron_nsfnet_deeprmsa,60301
ksp_ff_k50,833,0.0833,0.017085448200000002,0.07252845,xlron_nsfnet_deeprmsa,60302
full_direct,649,0.0649,0.3696994952,0.6530130499999999,xlron_nsfnet_deeprmsa,60302
opportunity_teacher,653,0.0653,0.1534809266,0.26391299999999995,xlron_nsfnet_deeprmsa,60302
neural_opportunity,690,0.069,0.0446876705,0.09477099999999998,xlron_nsfnet_deeprmsa,60302
ksp_ff_k50,735,0.0735,0.016625843999999997,0.07197899999999997,xlron_nsfnet_deeprmsa,60303
full_direct,601,0.0601,0.3717880091,0.6571784500000001,xlron_nsfnet_deeprmsa,60303
opportunity_teacher,603,0.0603,0.1422424943,0.2401409999999999,xlron_nsfnet_deeprmsa,60303
neural_opportunity,593,0.0593,0.046207433199999995,0.09779149999999992,xlron_nsfnet_deeprmsa,60303
ksp_ff_k50,747,0.0747,0.019798737,0.07555449999999998,xlron_nsfnet_deeprmsa,60304
full_direct,611,0.0611,0.3833519328,0.6857372500000001,xlron_nsfnet_deeprmsa,60304
opportunity_teacher,626,0.0626,0.15078227670000002,0.2600980499999999,xlron_nsfnet_deeprmsa,60304
neural_opportunity,619,0.0619,0.0463805564,0.09417949999999999,xlron_nsfnet_deeprmsa,60304
ksp_ff_k50,826,0.0826,0.017315372,0.072918,xlron_nsfnet_deeprmsa,60305
full_direct,661,0.0661,0.37275594489999997,0.6741072999999995,xlron_nsfnet_deeprmsa,60305
opportunity_teacher,670,0.067,0.1459840257,0.24464104999999975,xlron_nsfnet_deeprmsa,60305
neural_opportunity,717,0.0717,0.0448543541,0.09264899999999997,xlron_nsfnet_deeprmsa,60305
ksp_ff_k50,789,0.0789,0.0195597147,0.06553545,xlron_usnet_gcnrmsa,60301
full_direct,719,0.0719,0.3565776874,0.6377179999999999,xlron_usnet_gcnrmsa,60301
opportunity_teacher,755,0.0755,0.125986917,0.22866499999999998,xlron_usnet_gcnrmsa,60301
neural_opportunity,729,0.0729,0.0463928497,0.09698449999999999,xlron_usnet_gcnrmsa,60301
ksp_ff_k50,884,0.0884,0.0199933708,0.066837,xlron_usnet_gcnrmsa,60302
