seed,topology,arm,load,blocked,served,total,blocked_rate,elapsed_s
69511,abilene,n1,140,584,9416,10000,5.84,0.9948497130535543
69511,abilene,ksp_ff_k5,140,608,9392,10000,6.08,0.38320798403583467
69511,abilene,ksp_ff_k50,140,598,9402,10000,5.9799999999999995,0.3758083339780569
69512,abilene,n1,140,568,9432,10000,5.680000000000001,0.98983248998411
69512,abilene,ksp_ff_k5,140,616,9384,10000,6.16,0.38149851793423295
69512,abilene,ksp_ff_k50,140,607,9393,10000,6.069999999999999,0.3742354200221598
69513,abilene,n1,140,562,9438,10000,5.62,0.9718830429483205
69513,abilene,ksp_ff_k5,140,607,9393,10000,6.069999999999999,0.3989742730045691
69513,abilene,ksp_ff_k50,140,565,9435,10000,5.65,0.38190682197455317
69514,abilene,n1,140,558,9442,10000,5.58,0.9696815880015492
69514,abilene,ksp_ff_k5,140,613,9387,10000,6.13,0.36322057200595737
69514,abilene,ksp_ff_k50,140,577,9423,10000,5.7700000000000005,0.37246446195058525
69515,abilene,n1,140,501,9499,10000,5.01,0.9739241090137511
69515,abilene,ksp_ff_k5,140,552,9448,10000,5.52,0.36490628810133785
69515,abilene,ksp_ff_k50,140,510,9490,10000,5.1,0.37574072007555515
69516,abilene,n1,140,549,9451,10000,5.489999999999999,0.9761120870243758
69516,abilene,ksp_ff_k5,140,593,9407,10000,5.93,0.3786163900513202
69516,abilene,ksp_ff_k50,140,577,9423,10000,5.7700000000000005,0.37268864398356527
69517,abilene,n1,140,538,9462,10000,5.38,1.0025886279763654
69517,abilene,ksp_ff_k5,140,580,9420,10000,5.800000000000001,0.3687293300172314
69517,abilene,ksp_ff_k50,140,568,9432,10000,5.680000000000001,0.3832370259333402
69518,abilene,n1,140,546,9454,10000,5.46,0.9698907200945541
69518,abilene,ksp_ff_k5,140,570,9430,10000,5.7,0.3798244680510834
69518,abilene,ksp_ff_k50,140,593,9407,10000,5.93,0.3706964219454676
69519,abilene,n1,140,496,9504,10000,4.96,0.9799906690604985
69519,abilene,ksp_ff_k5,140,544,9456,10000,5.4399999999999995,0.3620227560168132
69519,abilene,ksp_ff_k50,140,528,9472,10000,5.28,0.38998411502689123
69520,abilene,n1,140,516,9484,10000,5.16,0.9755481310421601
69520,abilene,ksp_ff_k5,140,585,9415,10000,5.8500000000000005,0.3811183290090412
69520,abilene,ksp_ff_k50,140,559,9441,10000,5.59,0.3758056319784373
