seed,topology,arm,load,blocked,served,total,blocked_rate,elapsed_s
61821,abilene,n1,95,48,9952,10000,0.48,1.0303641010541469
61821,abilene,ksp_ff_k5,95,107,9893,10000,1.0699999999999998,0.43650918104685843
61821,abilene,ksp_ff_k50,95,76,9924,10000,0.76,0.44649599492549896
61822,abilene,n1,95,35,9965,10000,0.35000000000000003,1.344744803966023
61822,abilene,ksp_ff_k5,95,82,9918,10000,0.8200000000000001,0.41202558297663927
61822,abilene,ksp_ff_k50,95,75,9925,10000,0.75,0.45634768391028047
61823,abilene,n1,95,62,9938,10000,0.62,1.1651641419157386
61823,abilene,ksp_ff_k5,95,131,9869,10000,1.31,0.36964120995253325
61823,abilene,ksp_ff_k50,95,108,9892,10000,1.08,0.40458772401325405
61824,abilene,n1,95,49,9951,10000,0.49,1.1457339320331812
61824,abilene,ksp_ff_k5,95,106,9894,10000,1.06,0.37326548201963305
61824,abilene,ksp_ff_k50,95,85,9915,10000,0.8500000000000001,0.4212081281002611
61825,abilene,n1,95,45,9955,10000,0.44999999999999996,1.0697849589632824
61825,abilene,ksp_ff_k5,95,125,9875,10000,1.25,0.4040456040529534
61825,abilene,ksp_ff_k50,95,98,9902,10000,0.98,0.45268268790096045
61826,abilene,n1,95,50,9950,10000,0.5,1.0436927420087159
61826,abilene,ksp_ff_k5,95,102,9898,10000,1.02,0.44451613002456725
61826,abilene,ksp_ff_k50,95,99,9901,10000,0.9900000000000001,0.41195652505848557
61827,abilene,n1,95,41,9959,10000,0.41000000000000003,1.140487257973291
61827,abilene,ksp_ff_k5,95,104,9896,10000,1.04,0.4288360240170732
61827,abilene,ksp_ff_k50,95,90,9910,10000,0.8999999999999999,0.4035393859958276
61828,abilene,n1,95,39,9961,10000,0.38999999999999996,1.0731674199923873
61828,abilene,ksp_ff_k5,95,110,9890,10000,1.0999999999999999,0.4493968279566616
61828,abilene,ksp_ff_k50,95,74,9926,10000,0.74,0.3686092089628801
61829,abilene,n1,95,43,9957,10000,0.43,1.230082819936797
61829,abilene,ksp_ff_k5,95,94,9906,10000,0.9400000000000001,0.3872115920530632
61829,abilene,ksp_ff_k50,95,91,9909,10000,0.91,0.36815037089399993
61830,abilene,n1,95,42,9958,10000,0.42,1.1832340760156512
61830,abilene,ksp_ff_k5,95,114,9886,10000,1.1400000000000001,0.376602525007911
61830,abilene,ksp_ff_k50,95,97,9903,10000,0.97,0.36399164993781596
