seed,topology,arm,load,blocked,served,total,blocked_rate,elapsed_s
69511,cost239_deeprmsa,n1,800,545,9455,10000,5.45,1.4133063909830526
69511,cost239_deeprmsa,ksp_ff_k5,800,534,9466,10000,5.34,0.41498725104611367
69511,cost239_deeprmsa,ksp_ff_k50,800,491,9509,10000,4.91,0.49826942395884544
69512,cost239_deeprmsa,n1,800,603,9397,10000,6.03,1.44459197006654
69512,cost239_deeprmsa,ksp_ff_k5,800,670,9330,10000,6.7,0.42529192101210356
69512,cost239_deeprmsa,ksp_ff_k50,800,633,9367,10000,6.329999999999999,0.4912995700724423
69513,cost239_deeprmsa,n1,800,701,9299,10000,7.01,1.4037664120551199
69513,cost239_deeprmsa,ksp_ff_k5,800,682,9318,10000,6.819999999999999,0.42930872493889183
69513,cost239_deeprmsa,ksp_ff_k50,800,677,9323,10000,6.77,0.49894761107861996
69514,cost239_deeprmsa,n1,800,515,9485,10000,5.1499999999999995,1.3975152759812772
69514,cost239_deeprmsa,ksp_ff_k5,800,534,9466,10000,5.34,0.4313032350037247
69514,cost239_deeprmsa,ksp_ff_k50,800,518,9482,10000,5.18,0.4874193089781329
69515,cost239_deeprmsa,n1,800,621,9379,10000,6.21,1.375031810021028
69515,cost239_deeprmsa,ksp_ff_k5,800,663,9337,10000,6.63,0.4240838179830462
69515,cost239_deeprmsa,ksp_ff_k50,800,662,9338,10000,6.619999999999999,0.5076785419369116
69516,cost239_deeprmsa,n1,800,576,9424,10000,5.76,1.4099585670046508
69516,cost239_deeprmsa,ksp_ff_k5,800,651,9349,10000,6.510000000000001,0.43758175102993846
69516,cost239_deeprmsa,ksp_ff_k50,800,620,9380,10000,6.2,0.47434142406564206
69517,cost239_deeprmsa,n1,800,608,9392,10000,6.08,1.383227581041865
69517,cost239_deeprmsa,ksp_ff_k5,800,644,9356,10000,6.4399999999999995,0.42498435999732465
69517,cost239_deeprmsa,ksp_ff_k50,800,625,9375,10000,6.25,0.5226418289821595
69518,cost239_deeprmsa,n1,800,679,9321,10000,6.79,1.403750887955539
69518,cost239_deeprmsa,ksp_ff_k5,800,688,9312,10000,6.88,0.4409448279766366
69518,cost239_deeprmsa,ksp_ff_k50,800,703,9297,10000,7.03,0.564901888021268
69519,cost239_deeprmsa,n1,800,567,9433,10000,5.67,1.2785473270341754
69519,cost239_deeprmsa,ksp_ff_k5,800,557,9443,10000,5.57,0.3836181960068643
69519,cost239_deeprmsa,ksp_ff_k50,800,576,9424,10000,5.76,0.42907908000051975
69520,cost239_deeprmsa,n1,800,706,9294,10000,7.06,1.2623753800289705
69520,cost239_deeprmsa,ksp_ff_k5,800,713,9287,10000,7.13,0.40202183404471725
69520,cost239_deeprmsa,ksp_ff_k50,800,728,9272,10000,7.28,0.4535444889916107
