seed,topology,arm,load,blocked,served,total,blocked_rate,elapsed_s
61821,cost239_deeprmsa,n1,600,70,9930,10000,0.7000000000000001,1.3012140130158514
61821,cost239_deeprmsa,ksp_ff_k5,600,199,9801,10000,1.9900000000000002,0.365972664905712
61821,cost239_deeprmsa,ksp_ff_k50,600,85,9915,10000,0.8500000000000001,0.407994564040564
61822,cost239_deeprmsa,n1,600,43,9957,10000,0.43,1.3279755070107058
61822,cost239_deeprmsa,ksp_ff_k5,600,204,9796,10000,2.04,0.40213711897376925
61822,cost239_deeprmsa,ksp_ff_k50,600,82,9918,10000,0.8200000000000001,0.4120351820020005
61823,cost239_deeprmsa,n1,600,61,9939,10000,0.61,1.3118628719821572
61823,cost239_deeprmsa,ksp_ff_k5,600,225,9775,10000,2.25,0.389238461968489
61823,cost239_deeprmsa,ksp_ff_k50,600,103,9897,10000,1.03,0.39924611698370427
61824,cost239_deeprmsa,n1,600,26,9974,10000,0.26,1.3100615029688925
61824,cost239_deeprmsa,ksp_ff_k5,600,164,9836,10000,1.6400000000000001,0.36611429904587567
61824,cost239_deeprmsa,ksp_ff_k50,600,64,9936,10000,0.64,0.3892078420612961
61825,cost239_deeprmsa,n1,600,75,9925,10000,0.75,1.3595787740778178
61825,cost239_deeprmsa,ksp_ff_k5,600,239,9761,10000,2.39,0.3792236449662596
61825,cost239_deeprmsa,ksp_ff_k50,600,137,9863,10000,1.37,0.4020398840075359
61826,cost239_deeprmsa,n1,600,30,9970,10000,0.3,1.304898796021007
61826,cost239_deeprmsa,ksp_ff_k5,600,169,9831,10000,1.69,0.3638830289710313
61826,cost239_deeprmsa,ksp_ff_k50,600,74,9926,10000,0.74,0.4011745280586183
61827,cost239_deeprmsa,n1,600,32,9968,10000,0.32,1.295383885037154
61827,cost239_deeprmsa,ksp_ff_k5,600,202,9798,10000,2.02,0.37336672109086066
61827,cost239_deeprmsa,ksp_ff_k50,600,63,9937,10000,0.63,0.3947112240130082
61828,cost239_deeprmsa,n1,600,57,9943,10000,0.5700000000000001,1.3463118239305913
61828,cost239_deeprmsa,ksp_ff_k5,600,231,9769,10000,2.31,0.3652270350139588
61828,cost239_deeprmsa,ksp_ff_k50,600,87,9913,10000,0.8699999999999999,0.3890616549178958
61829,cost239_deeprmsa,n1,600,79,9921,10000,0.79,1.3137384760193527
61829,cost239_deeprmsa,ksp_ff_k5,600,252,9748,10000,2.52,0.3936101570725441
61829,cost239_deeprmsa,ksp_ff_k50,600,153,9847,10000,1.53,0.40397434995975345
61830,cost239_deeprmsa,n1,600,67,9933,10000,0.67,1.3111586769809946
61830,cost239_deeprmsa,ksp_ff_k5,600,231,9769,10000,2.31,0.3667625350644812
61830,cost239_deeprmsa,ksp_ff_k50,600,103,9897,10000,1.03,0.40127681696321815
