seed,topology,arm,load,blocked,served,total,blocked_rate,elapsed_s
62021,xlron_jpn48,n1,300,42,9958,10000,0.42,2.1098127199802548
62021,xlron_jpn48,ksp_ff_k5,300,227,9773,10000,2.27,0.8419625440146774
62021,xlron_jpn48,ksp_ff_k50,300,87,9913,10000,0.8699999999999999,0.7439613889437169
62022,xlron_jpn48,n1,300,36,9964,10000,0.36,1.8331987119745463
62022,xlron_jpn48,ksp_ff_k5,300,224,9776,10000,2.2399999999999998,0.7110270300181583
62022,xlron_jpn48,ksp_ff_k50,300,81,9919,10000,0.8099999999999999,0.8434584239730611
62023,xlron_jpn48,n1,300,44,9956,10000,0.44,1.657858380000107
62023,xlron_jpn48,ksp_ff_k5,300,216,9784,10000,2.16,0.6654891860671341
62023,xlron_jpn48,ksp_ff_k50,300,90,9910,10000,0.8999999999999999,0.8466645040316507
62024,xlron_jpn48,n1,300,55,9945,10000,0.5499999999999999,2.1365179599961266
62024,xlron_jpn48,ksp_ff_k5,300,240,9760,10000,2.4,0.7431913589825854
62024,xlron_jpn48,ksp_ff_k50,300,106,9894,10000,1.06,0.9036849969998002
62025,xlron_jpn48,n1,300,32,9968,10000,0.32,1.9444444520631805
62025,xlron_jpn48,ksp_ff_k5,300,192,9808,10000,1.92,1.4111257799668238
62025,xlron_jpn48,ksp_ff_k50,300,58,9942,10000,0.58,1.038235052023083
62026,xlron_jpn48,n1,300,22,9978,10000,0.22,2.0352513599209487
62026,xlron_jpn48,ksp_ff_k5,300,198,9802,10000,1.9800000000000002,0.8751531270099804
62026,xlron_jpn48,ksp_ff_k50,300,64,9936,10000,0.64,0.7758474289439619
62027,xlron_jpn48,n1,300,29,9971,10000,0.29,2.0981071789283305
62027,xlron_jpn48,ksp_ff_k5,300,195,9805,10000,1.95,1.0588832499925047
62027,xlron_jpn48,ksp_ff_k50,300,84,9916,10000,0.84,0.8100476519903168
62028,xlron_jpn48,n1,300,23,9977,10000,0.22999999999999998,1.9245679469313473
62028,xlron_jpn48,ksp_ff_k5,300,190,9810,10000,1.9,0.9722712479997426
62028,xlron_jpn48,ksp_ff_k50,300,60,9940,10000,0.6,0.8153344109887257
62029,xlron_jpn48,n1,300,30,9970,10000,0.3,2.137927970965393
62029,xlron_jpn48,ksp_ff_k5,300,216,9784,10000,2.16,0.8509643890429288
62029,xlron_jpn48,ksp_ff_k50,300,79,9921,10000,0.79,0.8306520630139858
62030,xlron_jpn48,n1,300,20,9980,10000,0.2,1.9610688410466537
62030,xlron_jpn48,ksp_ff_k5,300,161,9839,10000,1.6099999999999999,1.2059494770364836
62030,xlron_jpn48,ksp_ff_k50,300,58,9942,10000,0.58,0.9291846880223602
