seed,topology,arm,load,blocked,served,total,blocked_rate,elapsed_s
62021,xlron_nsfnet_deeprmsa,n1,225,8,9992,10000,0.08,1.5732417299877852
62021,xlron_nsfnet_deeprmsa,ksp_ff_k5,225,113,9887,10000,1.13,0.39014461799524724
62021,xlron_nsfnet_deeprmsa,ksp_ff_k50,225,55,9945,10000,0.5499999999999999,0.48842809291090816
62022,xlron_nsfnet_deeprmsa,n1,225,5,9995,10000,0.05,1.5477785960538313
62022,xlron_nsfnet_deeprmsa,ksp_ff_k5,225,109,9891,10000,1.09,0.40271408995613456
62022,xlron_nsfnet_deeprmsa,ksp_ff_k50,225,43,9957,10000,0.43,0.4810416519176215
62023,xlron_nsfnet_deeprmsa,n1,225,13,9987,10000,0.13,1.5149778630584478
62023,xlron_nsfnet_deeprmsa,ksp_ff_k5,225,103,9897,10000,1.03,0.4263155040098354
62023,xlron_nsfnet_deeprmsa,ksp_ff_k50,225,66,9934,10000,0.66,0.4078121200436726
62024,xlron_nsfnet_deeprmsa,n1,225,20,9980,10000,0.2,1.4817854180000722
62024,xlron_nsfnet_deeprmsa,ksp_ff_k5,225,121,9879,10000,1.21,0.47521347797010094
62024,xlron_nsfnet_deeprmsa,ksp_ff_k50,225,64,9936,10000,0.64,0.49404155800584704
62025,xlron_nsfnet_deeprmsa,n1,225,21,9979,10000,0.21,1.7656948589719832
62025,xlron_nsfnet_deeprmsa,ksp_ff_k5,225,139,9861,10000,1.39,0.4862115510040894
62025,xlron_nsfnet_deeprmsa,ksp_ff_k50,225,82,9918,10000,0.8200000000000001,0.4481652700342238
62026,xlron_nsfnet_deeprmsa,n1,225,25,9975,10000,0.25,1.5371866159839556
62026,xlron_nsfnet_deeprmsa,ksp_ff_k5,225,105,9895,10000,1.05,0.39452260290272534
62026,xlron_nsfnet_deeprmsa,ksp_ff_k50,225,68,9932,10000,0.6799999999999999,0.4969436600804329
62027,xlron_nsfnet_deeprmsa,n1,225,16,9984,10000,0.16,1.6314195710001513
62027,xlron_nsfnet_deeprmsa,ksp_ff_k5,225,97,9903,10000,0.97,0.3969424309907481
62027,xlron_nsfnet_deeprmsa,ksp_ff_k50,225,55,9945,10000,0.5499999999999999,0.4346372860018164
62028,xlron_nsfnet_deeprmsa,n1,225,19,9981,10000,0.19,1.4933887840015814
62028,xlron_nsfnet_deeprmsa,ksp_ff_k5,225,131,9869,10000,1.31,0.4270497859688476
62028,xlron_nsfnet_deeprmsa,ksp_ff_k50,225,62,9938,10000,0.62,0.41049380507320166
62029,xlron_nsfnet_deeprmsa,n1,225,17,9983,10000,0.16999999999999998,1.4984053400112316
62029,xlron_nsfnet_deeprmsa,ksp_ff_k5,225,108,9892,10000,1.08,0.48301655100658536
62029,xlron_nsfnet_deeprmsa,ksp_ff_k50,225,41,9959,10000,0.41000000000000003,0.40473802806809545
62030,xlron_nsfnet_deeprmsa,n1,225,9,9991,10000,0.09,1.581746632931754
62030,xlron_nsfnet_deeprmsa,ksp_ff_k5,225,114,9886,10000,1.1400000000000001,0.41146458801813424
62030,xlron_nsfnet_deeprmsa,ksp_ff_k50,225,57,9943,10000,0.5700000000000001,0.48671311896760017
