seed,topology,arm,load,blocked,served,total,blocked_rate,elapsed_s
62021,xlron_usnet_gcnrmsa,n1,480,57,9943,10000,0.5700000000000001,1.8679461409337819
62021,xlron_usnet_gcnrmsa,ksp_ff_k5,480,285,9715,10000,2.85,0.5362816610140726
62021,xlron_usnet_gcnrmsa,ksp_ff_k50,480,112,9888,10000,1.1199999999999999,0.662613934953697
62022,xlron_usnet_gcnrmsa,n1,480,36,9964,10000,0.36,1.8612224019598216
62022,xlron_usnet_gcnrmsa,ksp_ff_k5,480,262,9738,10000,2.62,0.5394198310095817
62022,xlron_usnet_gcnrmsa,ksp_ff_k50,480,91,9909,10000,0.91,0.6718760309740901
62023,xlron_usnet_gcnrmsa,n1,480,39,9961,10000,0.38999999999999996,1.9505401209462434
62023,xlron_usnet_gcnrmsa,ksp_ff_k5,480,243,9757,10000,2.4299999999999997,0.5596930730389431
62023,xlron_usnet_gcnrmsa,ksp_ff_k50,480,82,9918,10000,0.8200000000000001,0.7596632420318201
62024,xlron_usnet_gcnrmsa,n1,480,75,9925,10000,0.75,2.107093838043511
62024,xlron_usnet_gcnrmsa,ksp_ff_k5,480,288,9712,10000,2.88,0.8237715269206092
62024,xlron_usnet_gcnrmsa,ksp_ff_k50,480,101,9899,10000,1.01,0.7633010030258447
62025,xlron_usnet_gcnrmsa,n1,480,37,9963,10000,0.37,1.907787056057714
62025,xlron_usnet_gcnrmsa,ksp_ff_k5,480,264,9736,10000,2.64,0.5887906539719552
62025,xlron_usnet_gcnrmsa,ksp_ff_k50,480,88,9912,10000,0.88,0.7051733550615609
62026,xlron_usnet_gcnrmsa,n1,480,21,9979,10000,0.21,2.4222572989529
62026,xlron_usnet_gcnrmsa,ksp_ff_k5,480,234,9766,10000,2.34,0.8652368590701371
62026,xlron_usnet_gcnrmsa,ksp_ff_k50,480,64,9936,10000,0.64,0.6433372749015689
62027,xlron_usnet_gcnrmsa,n1,480,28,9972,10000,0.27999999999999997,1.7007257209625095
62027,xlron_usnet_gcnrmsa,ksp_ff_k5,480,221,9779,10000,2.21,0.5842775659402832
62027,xlron_usnet_gcnrmsa,ksp_ff_k50,480,64,9936,10000,0.64,0.5988690920639783
62028,xlron_usnet_gcnrmsa,n1,480,47,9953,10000,0.47000000000000003,1.8476041329558939
62028,xlron_usnet_gcnrmsa,ksp_ff_k5,480,229,9771,10000,2.29,0.5131423510611057
62028,xlron_usnet_gcnrmsa,ksp_ff_k50,480,75,9925,10000,0.75,0.683338086004369
62029,xlron_usnet_gcnrmsa,n1,480,36,9964,10000,0.36,1.733288608957082
62029,xlron_usnet_gcnrmsa,ksp_ff_k5,480,230,9770,10000,2.3,0.5613066959194839
62029,xlron_usnet_gcnrmsa,ksp_ff_k50,480,73,9927,10000,0.73,0.5854933509835973
62030,xlron_usnet_gcnrmsa,n1,480,31,9969,10000,0.31,1.751722138025798
62030,xlron_usnet_gcnrmsa,ksp_ff_k5,480,252,9748,10000,2.52,0.5922646060353145
62030,xlron_usnet_gcnrmsa,ksp_ff_k50,480,72,9928,10000,0.72,0.632942488999106
