topology,seed,arm,blocking,blocked,selector_mean_ms,ksp_backend
xlron_nsfnet_deeprmsa,23001,ksp_ff_k5,0.0743,743,0.010578138002363796,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23001,ksp_ff_k50,0.0753,753,0.015674870291894134,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23001,ksp_bf_k50,0.0734,734,0.027116362301802095,
xlron_nsfnet_deeprmsa,23001,full_direct,0.058,580,0.3581609853056514,
xlron_nsfnet_deeprmsa,23001,opp_only,0.0599,599,0.13650063106747853,
xlron_nsfnet_deeprmsa,23002,ksp_ff_k5,0.0908,908,0.010175047209486365,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23002,ksp_ff_k50,0.0868,868,0.01651010424195027,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23002,ksp_bf_k50,0.0836,836,0.029349837346341123,
xlron_nsfnet_deeprmsa,23002,full_direct,0.0677,677,0.3494103124619207,
xlron_nsfnet_deeprmsa,23002,opp_only,0.0728,728,0.14308849034238266,
xlron_nsfnet_deeprmsa,23003,ksp_ff_k5,0.0834,834,0.010175401545976374,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23003,ksp_ff_k50,0.0846,846,0.01733438627244058,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23003,ksp_bf_k50,0.0791,791,0.029115737034854563,
xlron_nsfnet_deeprmsa,23003,full_direct,0.0674,674,0.3487678396896544,
xlron_nsfnet_deeprmsa,23003,opp_only,0.0685,685,0.14432789644607427,
xlron_nsfnet_deeprmsa,23004,ksp_ff_k5,0.0824,824,0.010713470919819718,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23004,ksp_ff_k50,0.0818,818,0.016000745161859828,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23004,ksp_bf_k50,0.0782,782,0.028732237935235556,
xlron_nsfnet_deeprmsa,23004,full_direct,0.0657,657,0.3519817581929436,
xlron_nsfnet_deeprmsa,23004,opp_only,0.0681,681,0.14185660793869334,
xlron_nsfnet_deeprmsa,23005,ksp_ff_k5,0.0835,835,0.010601891384629364,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23005,ksp_ff_k50,0.0791,791,0.016298571569760417,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23005,ksp_bf_k50,0.074,740,0.02771013397300108,
xlron_nsfnet_deeprmsa,23005,full_direct,0.0626,626,0.3602539312454279,
xlron_nsfnet_deeprmsa,23005,opp_only,0.0657,657,0.13851232951591638,
xlron_nsfnet_deeprmsa,23006,ksp_ff_k5,0.0776,776,0.010636516931382092,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23006,ksp_ff_k50,0.075,750,0.01590852437286892,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23006,ksp_bf_k50,0.0722,722,0.02745798095764423,
xlron_nsfnet_deeprmsa,23006,full_direct,0.0605,605,0.35761784497563814,
xlron_nsfnet_deeprmsa,23006,opp_only,0.0623,623,0.1365940334931524,
xlron_nsfnet_deeprmsa,23007,ksp_ff_k5,0.0804,804,0.01059040833603252,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23007,ksp_ff_k50,0.074,740,0.016318451369773935,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23007,ksp_bf_k50,0.0682,682,0.02833079290576279,
xlron_nsfnet_deeprmsa,23007,full_direct,0.0554,554,0.36021635498301213,
xlron_nsfnet_deeprmsa,23007,opp_only,0.0599,599,0.13998967899136586,
xlron_nsfnet_deeprmsa,23008,ksp_ff_k5,0.069,690,0.010125552484003658,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23008,ksp_ff_k50,0.0626,626,0.015288017626682466,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23008,ksp_bf_k50,0.0576,576,0.02378318118016151,
xlron_nsfnet_deeprmsa,23008,full_direct,0.0469,469,0.3689687129279429,
xlron_nsfnet_deeprmsa,23008,opp_only,0.0453,453,0.13915090061808852,
xlron_nsfnet_deeprmsa,23009,ksp_ff_k5,0.0789,789,0.009835617616772652,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23009,ksp_ff_k50,0.0712,712,0.01585615541658957,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23009,ksp_bf_k50,0.0728,728,0.02719924584115771,
xlron_nsfnet_deeprmsa,23009,full_direct,0.0598,598,0.3647511727705767,
xlron_nsfnet_deeprmsa,23009,opp_only,0.0582,582,0.13770188902377745,
xlron_nsfnet_deeprmsa,23010,ksp_ff_k5,0.0829,829,0.011228727028620513,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23010,ksp_ff_k50,0.0835,835,0.01641195546835661,python_bitparallel_early_exit
xlron_nsfnet_deeprmsa,23010,ksp_bf_k50,0.0817,817,0.02922365273645317,
xlron_nsfnet_deeprmsa,23010,full_direct,0.0677,677,0.359970739852129,
xlron_nsfnet_deeprmsa,23010,opp_only,0.0697,697,0.13942455538463863,
xlron_usnet_gcnrmsa,23001,ksp_ff_k5,0.115,1150,0.011466539644805545,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23001,ksp_ff_k50,0.0879,879,0.018629607162438333,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23001,ksp_bf_k50,0.0858,858,0.036588364164344966,
xlron_usnet_gcnrmsa,23001,full_direct,0.0788,788,0.3412744188363748,
xlron_usnet_gcnrmsa,23001,opp_only,0.078,780,0.11858380221846429,
xlron_usnet_gcnrmsa,23002,ksp_ff_k5,0.1138,1138,0.012128432757559825,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23002,ksp_ff_k50,0.0874,874,0.019295368047261778,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23002,ksp_bf_k50,0.0864,864,0.035112189848653295,
xlron_usnet_gcnrmsa,23002,full_direct,0.0797,797,0.33089735553684557,
xlron_usnet_gcnrmsa,23002,opp_only,0.08,800,0.12018447420136495,
xlron_usnet_gcnrmsa,23003,ksp_ff_k5,0.1053,1053,0.013269640420648186,python_bitparallel_early_exit
xlron_usnet_gcnrmsa,23003,ksp_ff_k50,0.0833,833,0.01942194579169154,python_bitparallel_early_exit
